entry	HITS	KUDOS	TAGS	TEXT	TITLE	WORDCOUNT	COMMENTS	SUMMARY	DATE	BOOKMARKS
65	91	7	Explicit,Graphic Depictions Of Violence,M/M,Boyfriend to Death (Visual Novels),Protagonist/Strade (Boyfriend to Death),Strade (BTD/TNR)/Reader,Strade (BTD/TNR)/You,Strade (BTD/TINR),Reader,Male Reader,Protagonist (Boyfriend to Death),Male protagonist - Character,Gore,Blood,Sexual Content,Murder,Torture,	'You're doing so good  buddy !'  Your hands shake under the pressure of the drill, the whirring only managing to drown out the poor persons screams, no you weren't hurting yourself, you'd graduated past that.  Strade had you hurting other people now.  She's passed out by now, the screaming come to a halt as the drill shattered her kneecap, but you don't notice, at least not until Strade's hands clamp over your own. He's warm, warms your trembling hands, and the slowly cooling blood that trips from them.   'She's out.' He says this with a bit of a laugh, but it's cut off with a look. Strade's red in the face, a devilish smile, looking at you from under his lids. You know that look, know what it means.   Under that look you're nothing more than a sheep for the slaughter, and you don't move, frozen, as Strade comes, and takes, and takes.   His lips on yours, bloody hands fumbling with your pants, and then in them. He's hard, you can feel his erection bucking against your thighs, against your ass, and to your shame you realize you're hard too. 	So Good!	189	0	"""hey, this blog is really cool,!! can i req somethin about Strade from btd, like headcanons or a fic or anythin like that? tysm,!!!""  TW:TW: Gore, blood, sexual themes, and just general Strade-esque themes under cut. "	2019-01-31	0
66	26	2	Explicit,Underage,M/M,Marvel 1602,Marvel,Peter Parquagh/Sir Nicholas Fury,Peter Parquagh,Sir Nicholas Fury,Masturbation,Sexual Fantasy,Drabble,100 Fandoms Challenge,	Peter can't help but think of Sir Nicholas when it's late like this, in the safety of the dark, his hand around his cock, mind wary and shamefully aroused over the man himself sleeping just a few feet away. Peter thinks of his master's big gloved hands gripping him, of how his own hands would feel in that thick dark hair, of Sir Nicholas' eye watching Peter and his deep voice telling Peter what to do, what he likes. Peter thinks of Sir Nicholas listening to him from his own bed, touching his own cock, thinking of Peter in return. 	safe dark place	100	0	Late at night, Peter thinks of Sir Nicholas. 	2019-01-30	0
67	49	3	Explicit,Creator Chose Not To Use Archive Warnings,F/F,F/M,Gen,Multi,Wiedźmin | The Witcher Series - Andrzej Sapkowski,Wiedźmin | The Witcher - All Media Types,Wiedźmin | The Witcher (Video Game),Cregennan of Lod/Lara Dorren aep Shiadhal,Avallac&#39;h | Crevan Espane aep Caomhan Macha/Lara Dorren aep Shiadhal,Auberon Muircetach/Shiadhal,Auberon Muircetach/Lara Dorren aep Shiadhal,Auberon Muircetach/OC,Cerro/Lara Dorren aep Shiadhal,Cerro/Vridank,Aelirenn/Ida Emean aep Sivney,Lara Dorren aep Shiadhal/Eredin Bréacc Glas,Lara Dorren aep Shiadhal,Cregennan of Lod,Avallac&#39;h | Crevan Espane aep Caomhan Macha,Auberon Muircetach,Cerro,Aelirenn | White Rose of Shaerrawedd,Ida Emean aep Sivney,Enid an Gleanna | Francesca Findabair,Filavandrel aén Fidháil,Eredin Bréacc Glas,Divethaf aep Macha Sihiel,Alzur,Radovid III the Bold/the Red,Beatrix of Kovir,Falka (The Witcher),Leticia Charbonneau,Emiel Regis Rohellec Terzieff-Godefroy,Original Witcher Character(s),Original Characters,Queen of the Night (The Witcher),Slow Build,Smut,Shameless Smut,POV Alternating,POV Multiple,A dash of greek mythos,HOEFOETHELORES,	I was called many things in my time. Aen Saevherne, Lady of Space, Mistress of Magic, the Shining One, and, unwittingly, Harbinger of Wars.     I was the daughter of Tatianna Shiadhal Andomiél, called often Feainnewedd by my father, King of the Alder Folk; I was his Sun Child, his hope and the future of my people. In the end, I chose to be me eäte'dearme, 'my dream of summer.' I am named Lara, the gull, the visionary, and the stranger. Where was I among all those titles? I don't know. For a time I thought I was one or two of those things, for I thought this time and place I was in demanded me to choose. Now as I lay beside my newly born daughter and breathed my last, and saw that I was wrong.     I was all of those things at once. If only others had realized that. If only I had realized that.     I am Lara Dorren aep Shiadhal, the beginning of an end. My path is the path of Destiny, and this is my story. 	The Magic Mirror, the Snow Queen, and the Red Riders	179	0	The queen that never was, the queen that never will be. I am Lara Dorren, daughter of Shiadal. Lady of Space, Traveler of Worlds, and, unwitting the Harbinger of Wars. I am the beginning of an end. My path is the path of Destiny. And this is my story. 	2019-01-30	0
68	782	18	Explicit,No Archive Warnings Apply,F/M,The Avengers (Marvel Movies),Marvel Cinematic Universe,The Incredible Hulk (2008),Bruce Banner/Reader,Bruce Banner,Reader,Drabble,Porn,Reader-Insert,BDSM,Dom/sub,Bondage,Vibrators,Dildos,Sybian,Consensual Forced Orgasm,Multiple Orgasms,Riding Crops,Switches,Whipping,Flogging,Fucking Machines,	Bruce strapped you to the Sybian nineteen minutes ago.  You know because the timer shows forty-one remaining.  Bruce has warmed your back with two riding crops, three switches, and one incredibly painful whip.  You came five times so far, the last three taking you in rapidly overlapping waves.  Now Bruce uses a soft, suede flogger.  He caresses your raw skin between strikes. Suddenly he turns up the Sybian.  You scream from the pleasure as it vibrates between your legs, pressing against your clit while its dildo whirls inside you. 'Good girl,' he croons as your sixth orgasm shudders through you. 	One Hour	100	1	Bruce binds the female reader to a Sybian. 	2019-01-29	0
69	191	12	Explicit,No Archive Warnings Apply,M/M,The Avengers (Marvel Movies),Iron Man (Movies),Marvel Cinematic Universe,The Incredible Hulk (2008),Bruce Banner/Tony Stark,Bruce Banner,Tony Stark,Drabble,Porn,Anal Fingering,Anal Sex,Dildos,	'Bend over, Tony.' ' You  bend over, Bruce.' 'It's my turn,' Bruce declared. 'Wrong.' 'Tony, you fucked me yesterday.' 'Yeah, but then you fucked me with the purple dildo.' 'That isn't the same.' 'No, it counts. Now fucking bend over.' Bruce glared for an instant before smiling fondly.  In Bruce's eyes, Tony's charm outweighed his brattiness. 'Fine, but we really need to hammer out the specifics of this system.' ' Hammer  you say?' Tony joked as he slicked Bruce's entrance with lubricant then stretched his hole gradually with his fingers until it was ready for Tony to slide his cock deep inside. 	A Flaw in The System	100	1	Tony and Bruce argue over whose turn it is to top and whose turn it is to bottom. 	2019-01-29	1
70	81	3	Explicit,No Archive Warnings Apply,F/M,World Wrestling Entertainment,Finn Balor | Prince Devitt/Original Female Character(s),Finn Balor | Prince Devitt,Original Female Character(s),	'You should've let me out. I could've beat that Legohead' Balor said. ‘Balor, shut it' ‘You almost had him' 	Hold Me Tight	177	0	Fallout from Royal Rumble 	2019-01-29	0
71	526	15	Explicit,Creator Chose Not To Use Archive Warnings,M/M,Queen (Band),Roger Taylor/John Deacon,Brian May/Roger Taylor,Freddie Mercury/Brian May,Freddie Mercury /John Deacon,Brian May,Roger Taylor,Freddie Mercury,John Deacon,Queen - Freeform,QueenBand,Slash,Smut,prompts,ideas,explicit - Freeform,Iamweirdlikethat,	Prompts for the Queen of Queen Smut Mrs annieapple24 .  1. Roger/Deacy : Deacy wants to know what is like to play the drums .Roger teaches him and things get interesting .(Only thing about this, is that Roger uses his drum sticks on  Deacy ) .  2.Freddie/Brian : Brian is very young here and is sad because ,the girl he likes won't go out with him on Valentine's Day.Freddie  being a good friend offers to take him out .Things obviously get a little bit *hot* later.     3.Freddie/John: Freddie is playing wrestling with John and things turn sexual, naturally.  4.Brian /Roger : Roger has a broken arm (he had a little accident ) he is pain due to the fact that is  impossible for him to masturbate with his left hand.Tired of Roger complaining Brian decides to help him with that task. 	Queen Prompts	142	4	Queen Prompts !   Some prompts about our lovely boys that I decided to gift to the lovely annieapple24. 	2019-01-28	0
72	57	0	Explicit,No Archive Warnings Apply,South Park,Descendants (Disney Movies),Once Upon a Time (TV),Agent Carter (TV),Marvel Cinematic Universe,Yu-Gi-Oh! GX,IT (2017),Shingeki no Kyojin | Attack on Titan,Disney - All Media Types,Resident Evil - All Media Types,any rating,Any pairing - Freeform,Don&#39;t Be Shy,	So for any of you guys that want a fic from me I will be now taking requests from here.  If you have any fics that you want you can request them in the comment section.  I will mostly take requests from the fandoms listed but if you have another fandom you may ask. However if I have never seen the show, anime, book etc. Then I might not wright it but I will try my best. I will also do any pairing or any rating.(for you sinners):) Hooe you guys will enjoy the fics I make for you:)   FANDOM LIST South Park. Attack On Titan Resident Evil 5 and 6  Check out my sis TheWavesOfTheSea. 	Requests	154	17	This is a place where I will be taking requests instead of my usual comment section. I will always be taking requests so no matter when you see this you can still post. 	2019-01-28	0
73	175	5	Explicit,Creator Chose Not To Use Archive Warnings,F/F,灰色庭園 | Haiiro Teien | The Gray Garden,Froze/Yosafire (Gray Garden),Froze (Gray Garden),Yosafire (Gray Garden),Futanari,ignored sex,Yosafire is horny,Froze is good at ignoring her,	"The demon whined dramatically, grinding against Froze roughly. ""Fruuoooooooze, I'm horny!! I wanna fuuuuck!!"" She ground against the angel more, moaning softly as she teased the angel through her panties. The angel offered no response but to raise her waist a little higher, giving Yosafire free access to her. The demon grinned, excitedly pulling down Froze's panties before grinding against her roughly, before pushing inside roughly, taking the angel as she read. She offered no real response, though her breathing became slightly more ragged as the demon began to pound her out. Yosaf's tail thrashed, and she moaned loudly, ravaging the angel with all she had, moaning and panting, clutching her as she took her, Froze's lack of reaction only spurring her on more, causing her moans to grow louder. The angel turned her page, and Yosafire fucked her harder, her tail coiling around her own leg as she grew close, her cock throbbing before she pumped Froze full of cum, sighing happily as she pulled out. The angel sighed, and gently pulled up her panties, sitting down with shaky legs. That had taken more out of her than she'd expected. "	Better than Homework	191	0	Froze is doing her homework, but Yosafire can't wait. 	2019-01-28	0
74	614	32	Explicit,No Archive Warnings Apply,F/F,Killing Eve (TV 2018),Eve Polastri/Villanelle | Oksana Astankova,Eve Polastri,Villanelle | Oksana Astankova,Daddy Kink,	Eve whimpers. Villanelle's fingers curl inside of her. She meets her lover's blackened eyes. 'More, please,' Eve begs.   Villanelle obliges and adds a third finger inside.   Eve is close. So so close. She wraps her arms around Villanelle's neck, pulling her in for a kiss. 'Fuck,' she groans. 'Please daddy.'  Villanelle freezes. Eve whimpers. Seconds later, her eyes go wide as realization hits. 'I didn't, I mean-'  'Say it again,' Villanelle orders. Eve is confused. Villanelle starts to move her fingers again at an agonizingly slow pace. 'Say it again.'  Eve shudders as Villanelle's fingers pick up speed. 'Oh fuck daddy,' she moans. She's close, she can feel the heat rising, and Villanelle only speeds up.   'Again.'  Villanelle curls her fingers. Eve tenses up. She clenches her eyes shut as she orgasms. 'Yes, yes oh fuck yes daddy,' she whispers as she falls over the edge. 	Daddy	146	2	Sometimes words slip out at the worst times. Sometimes it works out in your favor though. 	2019-01-27	4
75	443	17	Explicit,No Archive Warnings Apply,M/M,Thor (Movies),Marvel Cinematic Universe,The Avengers (Marvel Movies),Loki/Thor (Marvel),Loki (Marvel),Thor (Marvel),Drabble,Porn,Incest,Sibling Incest,Brothers,Adopted Sibling Relationship,Blow Jobs,Hand Jobs,Cock Worship,	Loki opened Thor's fly like he was unwrapping a gift.  With intoxicating anticipation, Loki freed Thor's cock from the fabric.  His fingers explored it, striving to leave no spot untouched.  He wrapped his lips around the tip and stroked the shaft.  He enjoyed the sensation of Thor's hardness in his hand: the firmness of the flesh and the hot, silky skin…   Thor grabbed Loki's head and began to thrust wildly into his mouth.  Soon Loki felt the gush of Thor's come and he hurried to swallow, relishing the complex taste and the smooth feel of it sliding down his throat. 	Suck	100	2	With his hands and his mouth, Loki enjoys Thor's erection. 	2019-01-27	2
76	28	1	Explicit,Creator Chose Not To Use Archive Warnings,No Fandom,Eating Disorder,Anorexia,Anorexic,Bulimia,Purging,Vomit,Starvation,Starving,Vent Work,Gender-Neutral Pronouns,	Vomit . The bathroom fucking reeked of vomit . But thats what happens when you jam two fingers down your throat , forcing yourself to gag over and over again until your stomach is empty . Clensed from those god-forsaken calories .   How long was this gonna go on ? How long could they survive while starving themself , or purging everytime they ate anything .  How long would it be until their heart stopped working , their brain shut down , their voice becoming broken and raspy from the acid fucking it over everytime they vomited .  How long until they died ? It's a mystery why they aren't dead already . 5'5 feet tall , weighing a mere 75 pounds , looking like a fucking skeleton .   How would they die ? heart failure ? iternal bleeding ? malnourishment ?   Maybe from their body caving in from how tiny they were .  Yet still , it wasn't enough . They didn't feel skinny enough . When would they be happy with their body ? would they ever be happy with it ?   They knew this was dangerous . It was stupid . Fucking stupid .   But they didn't care . Nothing mattered to them . Nothing but being skinny . And if they died trying , so be it 	So be it	188	0	This is a small vent work I wrote in like , 10 minutes . 	2019-01-26	0
77	460	27	Explicit,No Archive Warnings Apply,M/M,Overwatch (Video Game),Reaper | Gabriel Reyes/Soldier: 76 | Jack Morrison,Reaper | Gabriel Reyes,Soldier: 76 | Jack Morrison,POV Third Person Limited,Drabble,Daddy Kink,The Author Regrets Nothing,	"""You look so pretty, Gabe, so gorgeous for me."" Gabe grunts, just barely holding to a rhythm. Damn his boyfriend and his sweet words. Damn the stretch in his ass too. Jack always did know how to get a whole log up there. ""Fuck you,"" he mutters, no force behind the words. All Jack does, damn him, is smile. Gabe refuses to look. ""I thought that was your job,"" Jack murmurs, scraping rough nails down his back. ""Riding my cock like-"" ""You're an ass- Fuck, Jack,"" he mumbles, face buried in Jack's neck. ""I'm- I'm coming."" ""Hi Coming, I'm Dad."" "	How To Say 'I Love You' In Dork	100	4	One day, Gabe would learn to shut his boyfriend up before he said something incriminating. Today was not that day. 	2019-01-25	0
78	784	44	Explicit,Major Character Death,Multi,Final Fantasy XV,kenny crow/dan,Kenny Crow,Me,dan gets fucking sued for fucking kenny crow,square enix sues me for fucking kenny crow,can you fucking tell this is,Crack,its crack im smoking,can you guess who dies,ill tell you in the notes,	dan and kenny embraced.                                  foot fetish, that ardyn has.    wow, this is so much power. anyways, gladio like jerked off into his cupnoodles or something kenny crow is an alpha, me, his omega or however my tweet goes, 	buttfuck crazy	106	8	*gladio voice* big chungus and the fuckton of bungus 	2019-01-24	2
